date,ticker,recommendation,weighted_signal,stock_code,company_dir,field,as_of_date,run_id,signal_source,chair_json_path,auditor_packet_path,finance_signal,finance_weighted_signal,finance_recommendation,finance_weight,finance_signal_source,finance_basis,market_signal,market_weighted_signal,market_recommendation,market_weight,market_signal_source,market_basis,tech_signal,tech_weighted_signal,tech_recommendation,tech_weight,tech_signal_source,tech_basis,valuation_signal,valuation_weighted_signal,valuation_recommendation,valuation_weight,valuation_signal_source,valuation_basis,issue_signal,issue_weighted_signal,issue_recommendation,issue_weight,issue_signal_source,issue_basis,macro_signal,macro_weighted_signal,macro_recommendation,macro_weight,macro_signal_source,macro_basis
2025-02,한미반도체,보유,,042700,hanmi,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,한솔케미칼,보유,,014680,hansol,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,덕산테코피아,보유,,317330,duksan,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,엘티씨,보유,,170920,ltc,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,DB하이텍,보유,,000990,dbhitek,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,미코,보유,,059090,mico,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,LX세미콘,보유,,108320,lxsemicon,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,제주반도체,보유,,080220,jeju_semicon,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,어보브반도체,보유,,102120,abov,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,텔레칩스,보유,,054450,telechips,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
